SiteID,C14ID,PhaseID,ItemID,Period,Method,C14.Age,C14.SD,δ13C,δ13C.SD,C/N_collagen,LabID,Prefix,AltLabID,AltPrefix,TaxonCode,Material,Preservation,ABotAnatomy,SkeletalElement,Quantity,MaterialNotes,Flag,ContextType,Context,CitationID,Longitude,Latitude,Country
S01011,8612,AB,,EN,LSC,4730,135,,,,BM-348,BM,,,,charcoal,,,,,,,,,,-1.261,51.68,Great Britain
S01011,25002,AB,,EN,LSC,4910,110,,,,BM-350,BM,,,,charcoal,,,,,,,,,,-1.261,51.68,Great Britain
S01011,25003,AB,,EN,LSC,5060,130,,,,BM-351,BM,,,,charcoal,,,,,,,,,,-1.261,51.68,Great Britain
S01011,25004,AB,,EN,LSC,4710,135,,,,BM-352,BM,,,bosspec,bone,,,,,,,,,,-1.261,51.68,Great Britain
S01011,25005,AB,,EN,LSC,4970,130,,,,BM-353,BM,,,,charcoal,,,,,,,,,,-1.261,51.68,Great Britain
S01051,8285,OZ,,EN,LSC/GPC,6370,95,,,,Lv-1685,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8318,OZ,,EN,LSC/GPC,6300,100,,,,Lv-1607,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8443,OZ,,EN,LSC/GPC,6510,80,,,,Lv-1691,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8444,OZ,,EN,,6360,360,,,,Lv-1688,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8445,OZ,,EN,LSC/GPC,6330,100,,,,Lv-1690,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8447,OZ,,EN,LSC/GPC,6250,60,,,,Lv-1692,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8448,OZ,,EN,,6200,170,,,,Lv-1689,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01051,8449,OZ,,EN,LSC/GPC,6200,100,,,,Lv-1687,Lv,,,,charcoal,,,,,,,,,,5.283,50.717,Belgium
S01066,1451,AGR,,LN,,4275,50,,,,Hd-14660,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,1454,AGR,,LN,,4265,50,,,,Hd-15016,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,1471,AGR,,LN,,4195,30,,,,Hd-14603,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22329,AGR,,LN,,4086,18,,,,Hd-14821/15018,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22330,AGR,,LN,,4113,31,,,,Hd-14822/14907,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22331,AGR,,LN,,4135,25,,,,KIA-28561,KIA,,,FAGUSPE,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22332,AGR,,LN,,4195,28,,,,Hd-14825/14603,Hd,,,,charcoal,,,,,,,,,,9.624,48.107,Germany
S01066,22333,AGR,,LN,,4265,49,,,,Hd-14827/15016,Hd,,,,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22334,AGR,,LN,,4265,40,,,,Hd-14829/14938,Hd,,,,sediment: peat,,,,,,,,,,9.624,48.107,Germany
S01066,22335,AGR,,LN,,4274,50,,,,Hd-14826/14660,Hd,,,LINUSPE,plant,burnt: charred,,,,,,,,,9.624,48.107,Germany
S01066,22336,AGR,,LN,,4317,43,,,,Hd-14824/14908,Hd,,,,sediment: peat,,,,,,,,,,9.624,48.107,Germany
S01066,22337,AGR,,LN,,4365,25,,,,KIA-28560b,KIA,,,FAGUSPE,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22338,AGR,,LN,,4378,52,,,,Hd-14823/15015,Hd,,,,sediment: peat,,,,,,,,,,9.624,48.107,Germany
S01066,22339,AGR,,LN,,4420,25,,,,KIA-28562,KIA,,,FAGUSPE,wood,,,,,,,,,,9.624,48.107,Germany
S01066,22340,AGR,,LN,,4561,84,,,,Hd-14828/14909,Hd,,,,sediment: peat,,,,,,,,,,9.624,48.107,Germany
S01104,7210,ABL,,LN,,4720,60,,,,B-5340,B,,,,wood,,,,,,,,,,9.428,47.504,Switzerland
S01104,7235,ABL,,LN,,4610,40,,,,B-5341,B,,,,wood,,,,,,,,,,9.428,47.504,Switzerland
S01104,7237,ABL,,LN,,4600,60,,,,B-5342,B,,,,wood,,,,,,,,,,9.428,47.504,Switzerland
S01180,1381,BBT,,LN,,4510,57,,,,Hd-17311,Hd,,,,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22381,BBT,,LN,,4369,25,,,,KIA-29267,KIA,,,,bone,,,,,,,,,,9.607,48.065,Germany
S01180,22382,BBT,,LN,,4407,35,,,,KIA-28904,KIA,,,FAGUSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22383,BBT,,LN,,4420,28,,,,Hd-21161,Hd,,,FRAXSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22384,BBT,,LN,,4449,29,,,,Hd-21146,Hd,,,FRAXSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22385,BBT,,LN,,4453,34,,,,Hd-21149,Hd,,,PINUSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22386,BBT,,LN,,4465,25,,,,KIA-29268,KIA,,,,bone,,,,,,,,,,9.607,48.065,Germany
S01180,22387,BBT,,LN,,4465,25,,,,KIA-31092,KIA,,,CORYAVE,plant,,,,,,,,,,9.607,48.065,Germany
S01180,22388,BBT,,LN,,4475,25,,,,KIA-31091,KIA,,,,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22389,BBT,,LN,,4493,30,,,,KIA-29266,KIA,,,,bone,,,,,,,,,,9.607,48.065,Germany
S01180,22390,BBT,,LN,,4532,30,,,,KIA-31093,KIA,,,FAGUSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01180,22391,BBT,,LN,,4555,45,,,,KIA-31090,KIA,,,FRAXSPE,wood,,,,,,,,,,9.607,48.065,Germany
S01188,11385,BTH,,EN,LSC/GPC,5030,60,-24.9,,,GU-1828,GU,,,QUERSPE,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01188,11387,BTH,,EN,LSC/GPC,5015,125,-26.4,,,GU-1831,GU,,,QUERSPE,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01188,11388,BTH,,EN,AMS,5010,90,-26,,,OxA-1769,OxA,,,MALUSYL,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01188,11389,BTH,,EN,LSC/GPC,4970,75,-25.9,,,GU-1830,GU,,,QUERSPE,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01188,11390,BTH,,EN,LSC/GPC,4970,60,-25.8,,,GU-1832,GU,,,QUERSPE,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01188,11391,BTH,,EN,AMS,4940,70,-26,,,OxA-1768,OxA,,,LINUUSI,plant,burnt: charred,,,,,,,,,-2.44,57.054,Great Britain
S01188,11394,BTH,,EN,AMS,4820,80,-26,,,OxA-1767,OxA,,,AVENSPE,plant,burnt: charred,,,,,,,,,-2.44,57.054,Great Britain
S01188,11395,BTH,,EN,LSC/GPC,4785,150,-25.2,,,GU-1829,GU,,,QUERSPE,charcoal,,,,,,,,,,-2.44,57.054,Great Britain
S01220,11551,BHX,,LN,AMS,4590,75,-21.3,,,OxA-3499,OxA,,,HORDSPE,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11552,BHX,,LN,AMS,4570,75,-24.4,,,OxA-3498,OxA,,,HORSNAK,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11553,BHX,,LN,AMS,4520,70,-23.6,,,OxA-2734,OxA,,,HORSNAK,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11554,BHX,,LN,AMS,4475,70,-26.8,,,OxA-3765,OxA,,,,plant,,,,bulk,ALNUSPE; BETUSPE,,,,,-3.208,58.993,Great Britain
S01220,11555,BHX,,LN,AMS,4460,70,-27.3,,,OxA-2735,OxA,,,HORSNAK,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11556,BHX,,LN,AMS,4450,75,-23.7,,,OxA-3501,OxA,,,HORDSPE,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11557,BHX,,LN,AMS,4420,75,-26.8,,,OxA-3500,OxA,,,HORDSPE,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11558,BHX,,LN,AMS,4420,60,-25.1,,,OxA-3766,OxA,,,HORDSPE,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11559,BHX,,LN,AMS,4400,70,-24.4,,,OxA-2737,OxA,,,HORSNAK,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11560,BHX,,LN,AMS,4400,65,-26.9,,,OxA-3764,OxA,,,BETUSPE,charcoal,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11561,BHX,,,AMS,4360,70,-23.4,,,OxA-2736,OxA,,,HORSNAK,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01220,11562,BHX,,LN,AMS,4360,60,-26.3,,,OxA-3763,OxA,,,BETUSPE,plant,,,,,,,,,,-3.208,58.993,Great Britain
S01272,8111,BC,,MN,LSC/GPC,5420,60,,,,Gif-9810,Gif,,,,,,,,,,,,,,2.38,48.84,France
S01272,8112,BC,,MN,LSC/GPC,5200,70,,,,Gif-9811,Gif,,,,,,,,,,,,,,2.38,48.84,France
S01274,1201,BERG1,,LN,,5540,95,,,,KN-I.664,KN,,,,charcoal,,,,,,,,,,6.62,50.95,Germany
S01274,1208,BERG1,,LN,,5490,85,,,,KN-I.663,KN,,,,charcoal,,,,,,,,,,6.62,50.95,Germany
S01324,11468,BD,,EN,,5030,140,-26.4,,,SRR-685,SRR,,,QUERSPE,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01324,11469,BD,,EN,,4960,155,-28.5,,,SRR-689,SRR,,,,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01324,11471,BD,,EN,,4950,250,-26,,,SRR-683,SRR,,,,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01324,11472,BD,,EN,,6010,110,-28.8,,,SRR-690,SRR,,,,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01324,11473,BD,,EN,,4900,110,-25.9,,,SRR-686,SRR,,,,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01324,11474,BD,,EN,,4820,110,-24.7,,,SRR-684,SRR,,,,charcoal,,,,,,,,,,-3.299,57.602,Great Britain
S01357,9346,BRA,,LMEN,LSC/GPC,5670,45,,,,GrN-19073,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01357,9347,BRA,,LMEN,LSC/GPC,5305,25,,,,GrN-19332,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01357,9350,BRA,,LMEN,LSC/GPC,5160,20,,,,GrN-19331,GrN,,,,wood,,,,,,,,,,4.817,51.883,Netherlands
S01357,9351,BRA,,LMEN,LSC/GPC,5140,35,,,,GrN-19333,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01357,9352,BRA,,LMEN,LSC/GPC,5085,40,,,,GrN-19077,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01357,9353,BRA,,LMEN,LSC/GPC,5050,45,,,,GrN-19075,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01357,9354,BRA,,LMEN,LSC/GPC,4880,35,,,,GrN-19680,GrN,,,,charcoal,,,,,,,,,,4.817,51.883,Netherlands
S01382,8289,BBKI,,EN,AMS,6390,100,-26,,,OxA-1630,OxA,,,CERINDO,plant,,,,,,,,,,8.79,50.3,Germany
S01382,8290,BBKI,,EN,AMS,6240,90,-26,,,OxA-1629,OxA,,,CERINDO,plant,,,,,,,,,,8.79,50.3,Germany
S01382,8291,BBKI,,EN,AMS,6190,80,-26,,,OxA-1633,OxA,,,CERINDO,plant,,,,,,,,,,8.79,50.3,Germany
