TaxonCode,Tau,MinLifespan,MaxLifespan,Scale,Trunc
CORYAVE,0.0333333333333333,80,90,0,180
ALNUSPE,0.05,50,60,0,120
BETUSPE,0.0294117647058824,90,100,0,200
CORNSAN,0.0588235294117647,50,50,0,100
CORYSPE,0.0333333333333333,80,90,0,180
homosap,0.0416666666666667,70,70,0,140
MALOIDE,0.0294117647058824,100,100,0,200
POPUSPE,0.0588235294117647,50,400,1,800
ROSAIND,0.05,30,60,0,120
ROSASPE,0.05,30,60,0,120
SALISPE,0.1,20,30,0,60
PRUNSPI,0.0294117647058824,100,100,0,200
MALUSYL,0.0294117647058824,80,100,0,200
PYRUSPE,0.0294117647058824,80,100,0,200
ABIESPE,0.005,500,600,1,1200
ACERSPE,0.05,60,250,1,500
ARBDECI,0.05,60,1000,1,2000
FAGUSPE,0.01,150,300,0,600
FRAXSPE,0.02,150,150,0,300
JUNISPE,0.0149253731343284,200,200,0,400
PINUSPE,0.00746268656716418,400,1000,1,2000
QUERSPE,0.0029940119760479,700,1000,1,2000
TILISPE,0.0029940119760479,1000,1000,1,2000
FRAXELC,0.0119047619047619,250,250,0,500
ULMUSPE,0.00427350427350427,200,700,1,1400
