
Exp(0.041667,-140,0)	
U(0)	-0.5	0.5	-0.5	0.5	
homosap	
IntCal20	
B_Start STARC1	
OxA-8561	-5969.5	-5786.5	-5982.5	-5731.5	
GrN-9036	-5837.5	-5736	-5965.5	-5716.5	
BRAMS-2456	-5779.5	-5716	-5829.5	-5668	
BRAMS-2458	-5755.5	-5670	-5796	-5661.5	
GrN-7155	-5781	-5653.5	-5884.5	-5620	
GrN-9035	-5748	-5660.5	-5828	-5630	
BRAMS-2189	-5736.5	-5667.5	-5781	-5652.5	
BRAMS-2190	-5717	-5663	-5728	-5633	
OxA-8617	-5717.5	-5638	-5777.5	-5565.5	
BRAMS-2457	-5714.5	-5656	-5722.5	-5630	
OxA-8563	-5711	-5629.5	-5747	-5560	
BRAMS-2191	-5706.5	-5629.5	-5717	-5624	
OxA-8562	-5710	-5567	-5730	-5532.5	
BRAMS-2194	-5639.5	-5564.5	-5704.5	-5555.5	
GrN-8231	-5707	-5554.5	-5721.5	-5481	
GrN-9037	-5666.5	-5556.5	-5716.5	-5484	
BRAMS-2398	-5634	-5563.5	-5665.5	-5554	
BRAMS-2408	-5632.5	-5564	-5664.5	-5552.5	
BRAMS-2407	-5626	-5560	-5639	-5526	
BRAMS-2198	-5625.5	-5559.5	-5636.5	-5523.5	
BRAMS-2197	-5624.5	-5559.5	-5634.5	-5523	
BRAMS-2459	-5624	-5559.5	-5633.5	-5523.5	
GrN-9034	-5620	-5533	-5628.5	-5479.5	
BRAMS-2195	-5618	-5533	-5624	-5481	
BRAMS-2192	-5618	-5532	-5623.5	-5481	
BRAMS-2196	-5617	-5532	-5623	-5481	
BRAMS-2187	-5615	-5484	-5619.5	-5480	
GrN-6629	-5616.5	-5481	-5659.5	-5471	
BRAMS-2188	-5611.5	-5483	-5618	-5479.5	
GrN-6626	-5615	-5481	-5657.5	-5415.5	
GrN-7154	-5624.5	-5476	-5714.5	-5373	
OxA-8559	-5605.5	-5476	-5620.5	-5387.5	
GrN-6627	-5615	-5381.5	-5664.5	-5306	
OxA-8560	-5478	-5373.5	-5537	-5319	
GrN-9033	-5478	-5371	-5551	-5314.5	
STARC1	
STARC1	
B_End STARC1	
Sequence()	
@homosap	-3.5	1.5	-7.5	1.5	
@	
@	-0.5	0.5	-0.5	0.5	
@B_Start STARC1	-5767	-5731	-5803	-5689	
@OxA-8561	-5757.5	-5719.5	-5778	-5665	
@GrN-9036	-5754.5	-5718.5	-5775.5	-5666	
@BRAMS-2456	-5749.5	-5674.5	-5764	-5665	
@BRAMS-2458	-5741.5	-5671.5	-5756.5	-5661.5	
@GrN-7155	-5736.5	-5658.5	-5764.5	-5619.5	
@GrN-9035	-5734	-5666	-5750	-5633	
@BRAMS-2189	-5733.5	-5668	-5749	-5651	
@BRAMS-2190	-5716.5	-5662.5	-5726.5	-5634	
@OxA-8617	-5713.5	-5639	-5739.5	-5567.5	
@BRAMS-2457	-5714	-5654.5	-5722	-5630.5	
@OxA-8563	-5709.5	-5630.5	-5734.5	-5564	
@BRAMS-2191	-5706	-5629.5	-5716.5	-5624	
@OxA-8562	-5708.5	-5567.5	-5728	-5552	
@BRAMS-2194	-5640	-5564.5	-5704.5	-5555	
@GrN-8231	-5698	-5555	-5720	-5525	
@GrN-9037	-5664.5	-5558.5	-5714.5	-5534	
@BRAMS-2398	-5634	-5564	-5665	-5554.5	
@BRAMS-2408	-5632	-5562	-5662	-5553	
@BRAMS-2407	-5624.5	-5559.5	-5634.5	-5533	
@BRAMS-2198	-5625	-5560	-5634.5	-5530.5	
@BRAMS-2197	-5624.5	-5559.5	-5633.5	-5531	
@BRAMS-2459	-5624	-5559.5	-5632	-5533.5	
@GrN-9034	-5620	-5551	-5639	-5488.5	
@BRAMS-2195	-5618.5	-5547	-5624.5	-5521	
@BRAMS-2192	-5618	-5543	-5624.5	-5519.5	
@BRAMS-2196	-5617.5	-5543	-5624	-5519	
@BRAMS-2187	-5615	-5538	-5623	-5514	
@GrN-6629	-5619	-5534	-5654	-5489.5	
@BRAMS-2188	-5614	-5531	-5621.5	-5509	
@GrN-6626	-5618.5	-5533	-5650	-5486.5	
@GrN-7154	-5628	-5526	-5710.5	-5497.5	
@OxA-8559	-5612.5	-5521.5	-5619.5	-5494.5	
@GrN-6627	-5619	-5524	-5704.5	-5480.5	
@OxA-8560	-5607.5	-5510	-5617	-5469	
@GrN-9033	-5609	-5509.5	-5618.5	-5468	
@STARC1	-5717	-5556	-5757	-5506	
@B_End STARC1	-5546	-5493.5	-5563.5	-5458.5	
