Outlier_Model	PosteriorProb	PriorProb
Beta-251909	0	0
Beta-251911	0	0
Beta-251910	0	0
Z-2826	1	1
Z-3868	1	1
Z-3139	1	1
Z-3140	1	1
Z-3141	1	1
Beta-251907	0	0
Z-3869	1	1
Beta-230029	1	1
Beta-251912	0	0
Beta-251908	0	0
Z-3143	1	1
Z-3870	1	1
Beta-251913	0	0
Z-2753	1	1
Beta-230031	1	1
Beta-230033	1	1
Z-3867	1	1
Beta-230032	1	1
Z-2752	1	1
Z-3142	1	1
Z-3866	1	1
Z-2827	1	1
Z-2754	1	1
Z-2911	1	1
Beta-230030	1	1
Z-2909	1	1
Warning	0	0
Warning	0	0
Warning	0	0
Warning	1	1
Warning	1	1
Warning	1	1
Warning	1	1
Warning	1	1
Warning	0	0
Warning	1	1
Warning	1	1
Warning	0	0
Warning	0	0
Warning	1	1
Warning	1	1
Warning	0	0
Warning	1	1
Warning	1	1
Warning	1	1
Warning	1	1
Warning	1	1
Warning	1	1
