Variable	A
U(0)	100
OxA-8561	43.1
GrN-9036	76.9
BRAMS-2456	113
BRAMS-2458	111
GrN-7155	117.4
GrN-9035	113.7
BRAMS-2189	106.4
BRAMS-2190	100.3
OxA-8617	105.1
BRAMS-2457	100
OxA-8563	102.6
BRAMS-2191	99.9
OxA-8562	102.7
BRAMS-2194	98.4
GrN-8231	105.6
GrN-9037	103.5
BRAMS-2398	98.4
BRAMS-2408	98.5
BRAMS-2407	100.5
BRAMS-2198	101.5
BRAMS-2197	101.8
BRAMS-2459	101.6
GrN-9034	106.1
BRAMS-2195	106.1
BRAMS-2192	106.2
BRAMS-2196	106.1
BRAMS-2187	105
GrN-6629	102.4
BRAMS-2188	102.8
GrN-6626	102
GrN-7154	108.6
OxA-8559	94.1
GrN-6627	100.8
OxA-8560	25.7
GrN-9033	26.5
A_overall	64.5
A_model	69.5
